cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
city_college_of_san_francisco,UCSD,1,IGETC,success,6,61,True,12,10,12,12,12,3,
city_college_of_san_francisco,UCLA,1,IGETC,success,5,54,True,12,12,12,12,6,0,
city_college_of_san_francisco,UCI,1,IGETC,success,4,48,False,12,12,12,12,0,0,
city_college_of_san_francisco,UCR,1,IGETC,success,4,48,False,12,12,12,12,0,0,
city_college_of_san_francisco,UCSB,1,IGETC,success,6,62,True,12,12,11,12,12,3,
city_college_of_san_francisco,UCD,1,IGETC,success,6,61,True,12,12,10,12,12,3,
city_college_of_san_francisco,UCB,1,IGETC,success,5,51,True,12,12,12,12,3,0,
city_college_of_san_francisco,UCSC,1,IGETC,success,6,59,True,12,10,10,12,12,3,
city_college_of_san_francisco,UCM,1,IGETC,success,5,58,True,10,12,12,12,12,0,
city_college_of_san_francisco,UCLA+UCSD,2,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCI+UCSD,2,IGETC,success,7,73,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCR+UCSD,2,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCSB+UCSD,2,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCD+UCSD,2,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCB+UCSD,2,IGETC,success,6,64,True,12,10,12,12,12,6,
city_college_of_san_francisco,UCSC+UCSD,2,IGETC,success,6,64,True,12,10,12,12,12,6,
city_college_of_san_francisco,UCM+UCSD,2,IGETC,success,6,64,True,12,10,12,12,12,6,
city_college_of_san_francisco,UCI+UCLA,2,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCLA+UCR,2,IGETC,success,5,57,True,12,12,12,12,9,0,
city_college_of_san_francisco,UCLA+UCSB,2,IGETC,success,5,60,True,12,12,12,12,12,0,
city_college_of_san_francisco,UCD+UCLA,2,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCB+UCLA,2,IGETC,success,5,54,True,12,12,12,12,6,0,
city_college_of_san_francisco,UCLA+UCSC,2,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCLA+UCM,2,IGETC,success,5,57,True,12,12,12,12,9,0,
city_college_of_san_francisco,UCI+UCR,2,IGETC,success,5,60,True,12,12,12,12,12,0,
city_college_of_san_francisco,UCI+UCSB,2,IGETC,success,7,74,True,12,12,12,11,12,12,
city_college_of_san_francisco,UCD+UCI,2,IGETC,success,7,73,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCB+UCI,2,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCI+UCSC,2,IGETC,success,7,71,True,12,12,10,10,12,12,
city_college_of_san_francisco,UCI+UCM,2,IGETC,success,6,70,True,12,12,10,12,12,12,
city_college_of_san_francisco,UCR+UCSB,2,IGETC,success,6,65,True,12,12,11,12,12,6,
city_college_of_san_francisco,UCD+UCR,2,IGETC,success,6,64,True,12,12,10,12,12,6,
city_college_of_san_francisco,UCB+UCR,2,IGETC,success,5,57,True,12,12,12,12,9,0,
city_college_of_san_francisco,UCR+UCSC,2,IGETC,success,6,61,True,12,12,10,12,12,3,
city_college_of_san_francisco,UCM+UCR,2,IGETC,success,5,60,True,12,12,12,12,12,0,
city_college_of_san_francisco,UCD+UCSB,2,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCB+UCSB,2,IGETC,success,5,60,True,12,12,12,12,12,0,
city_college_of_san_francisco,UCSB+UCSC,2,IGETC,success,6,69,True,12,12,11,10,12,12,
city_college_of_san_francisco,UCM+UCSB,2,IGETC,success,5,60,True,12,12,12,12,12,0,
city_college_of_san_francisco,UCB+UCD,2,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCD+UCSC,2,IGETC,success,6,61,True,12,12,10,12,12,3,
city_college_of_san_francisco,UCD+UCM,2,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCB+UCSC,2,IGETC,success,6,68,True,12,10,12,10,12,12,
city_college_of_san_francisco,UCB+UCM,2,IGETC,success,5,58,True,10,12,12,12,12,0,
city_college_of_san_francisco,UCM+UCSC,2,IGETC,success,6,68,True,12,10,12,10,12,12,
city_college_of_san_francisco,UCI+UCLA+UCSD,3,IGETC,success,7,75,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCLA+UCR+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCLA+UCSB+UCSD,3,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCD+UCLA+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCB+UCLA+UCSD,3,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCLA+UCSC+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCLA+UCM+UCSD,3,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCI+UCR+UCSD,3,IGETC,success,7,75,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCI+UCSB+UCSD,3,IGETC,success,7,75,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCD+UCI+UCSD,3,IGETC,success,7,75,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCB+UCI+UCSD,3,IGETC,success,7,76,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCI+UCSC+UCSD,3,IGETC,success,7,76,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCI+UCM+UCSD,3,IGETC,success,7,76,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCR+UCSB+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCD+UCR+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCB+UCR+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCR+UCSC+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCM+UCR+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCD+UCSB+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCB+UCSB+UCSD,3,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCSB+UCSC+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCM+UCSB+UCSD,3,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCB+UCD+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCD+UCSC+UCSD,3,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCD+UCM+UCSD,3,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCB+UCSC+UCSD,3,IGETC,success,6,67,True,12,10,12,12,12,9,
city_college_of_san_francisco,UCB+UCM+UCSD,3,IGETC,success,6,64,True,12,10,12,12,12,6,
city_college_of_san_francisco,UCM+UCSC+UCSD,3,IGETC,success,6,67,True,12,10,12,12,12,9,
city_college_of_san_francisco,UCI+UCLA+UCR,3,IGETC,success,6,69,True,12,12,12,12,12,9,
city_college_of_san_francisco,UCI+UCLA+UCSB,3,IGETC,success,6,72,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCD+UCI+UCLA,3,IGETC,success,7,79,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCB+UCI+UCLA,3,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCI+UCLA+UCSC,3,IGETC,success,7,79,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCI+UCLA+UCM,3,IGETC,success,6,69,True,12,12,12,12,12,9,
city_college_of_san_francisco,UCLA+UCR+UCSB,3,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCD+UCLA+UCR,3,IGETC,success,6,70,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCB+UCLA+UCR,3,IGETC,success,5,57,True,12,12,12,12,9,0,
city_college_of_san_francisco,UCLA+UCR+UCSC,3,IGETC,success,6,70,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCLA+UCM+UCR,3,IGETC,success,5,60,True,12,12,12,12,12,0,
city_college_of_san_francisco,UCD+UCLA+UCSB,3,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCB+UCLA+UCSB,3,IGETC,success,5,60,True,12,12,12,12,12,0,
city_college_of_san_francisco,UCLA+UCSB+UCSC,3,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCLA+UCM+UCSB,3,IGETC,success,5,60,True,12,12,12,12,12,0,
city_college_of_san_francisco,UCB+UCD+UCLA,3,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCD+UCLA+UCSC,3,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCD+UCLA+UCM,3,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCB+UCLA+UCSC,3,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCB+UCLA+UCM,3,IGETC,success,5,57,True,12,12,12,12,9,0,
city_college_of_san_francisco,UCLA+UCM+UCSC,3,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCI+UCR+UCSB,3,IGETC,success,7,77,True,12,12,12,12,11,12,
city_college_of_san_francisco,UCD+UCI+UCR,3,IGETC,success,7,76,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCB+UCI+UCR,3,IGETC,success,6,69,True,12,12,12,12,12,9,
city_college_of_san_francisco,UCI+UCR+UCSC,3,IGETC,success,7,73,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCI+UCM+UCR,3,IGETC,success,6,72,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCD+UCI+UCSB,3,IGETC,success,7,79,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCB+UCI+UCSB,3,IGETC,success,6,72,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCI+UCSB+UCSC,3,IGETC,success,7,81,True,12,12,12,11,10,12,
city_college_of_san_francisco,UCI+UCM+UCSB,3,IGETC,success,6,72,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCB+UCD+UCI,3,IGETC,success,7,79,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCD+UCI+UCSC,3,IGETC,success,7,73,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCD+UCI+UCM,3,IGETC,success,7,79,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCB+UCI+UCSC,3,IGETC,success,7,80,True,12,12,10,12,10,12,
city_college_of_san_francisco,UCB+UCI+UCM,3,IGETC,success,6,70,True,12,12,10,12,12,12,
city_college_of_san_francisco,UCI+UCM+UCSC,3,IGETC,success,7,80,True,12,12,10,12,10,12,
city_college_of_san_francisco,UCD+UCR+UCSB,3,IGETC,success,6,70,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCB+UCR+UCSB,3,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCR+UCSB+UCSC,3,IGETC,success,7,72,True,12,12,11,10,12,12,
city_college_of_san_francisco,UCM+UCR+UCSB,3,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCB+UCD+UCR,3,IGETC,success,6,70,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCD+UCR+UCSC,3,IGETC,success,6,64,True,12,12,10,12,12,6,
city_college_of_san_francisco,UCD+UCM+UCR,3,IGETC,success,6,70,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCB+UCR+UCSC,3,IGETC,success,6,70,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCB+UCM+UCR,3,IGETC,success,5,60,True,12,12,12,12,12,0,
city_college_of_san_francisco,UCM+UCR+UCSC,3,IGETC,success,6,70,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCB+UCD+UCSB,3,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCD+UCSB+UCSC,3,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCD+UCM+UCSB,3,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCB+UCSB+UCSC,3,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCB+UCM+UCSB,3,IGETC,success,5,60,True,12,12,12,12,12,0,
city_college_of_san_francisco,UCM+UCSB+UCSC,3,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCB+UCD+UCSC,3,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCB+UCD+UCM,3,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCD+UCM+UCSC,3,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCB+UCM+UCSC,3,IGETC,success,6,68,True,12,10,12,10,12,12,
city_college_of_san_francisco,UCI+UCLA+UCR+UCSD,4,IGETC,success,7,78,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCI+UCLA+UCSB+UCSD,4,IGETC,success,7,75,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCD+UCI+UCLA+UCSD,4,IGETC,success,7,78,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCB+UCI+UCLA+UCSD,4,IGETC,success,7,75,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCI+UCLA+UCSC+UCSD,4,IGETC,success,7,78,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCI+UCLA+UCM+UCSD,4,IGETC,success,7,75,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCLA+UCR+UCSB+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCD+UCLA+UCR+UCSD,4,IGETC,success,6,69,True,12,12,12,12,12,9,
city_college_of_san_francisco,UCB+UCLA+UCR+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCLA+UCR+UCSC+UCSD,4,IGETC,success,6,69,True,12,12,12,12,12,9,
city_college_of_san_francisco,UCLA+UCM+UCR+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCD+UCLA+UCSB+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCB+UCLA+UCSB+UCSD,4,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCLA+UCSB+UCSC+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCLA+UCM+UCSB+UCSD,4,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCB+UCD+UCLA+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCD+UCLA+UCSC+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCD+UCLA+UCM+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCB+UCLA+UCSC+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCB+UCLA+UCM+UCSD,4,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCLA+UCM+UCSC+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCI+UCR+UCSB+UCSD,4,IGETC,success,7,78,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCD+UCI+UCR+UCSD,4,IGETC,success,7,78,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCB+UCI+UCR+UCSD,4,IGETC,success,7,78,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCI+UCR+UCSC+UCSD,4,IGETC,success,7,78,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCI+UCM+UCR+UCSD,4,IGETC,success,7,78,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCD+UCI+UCSB+UCSD,4,IGETC,success,7,78,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCB+UCI+UCSB+UCSD,4,IGETC,success,7,75,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCI+UCSB+UCSC+UCSD,4,IGETC,success,7,78,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCI+UCM+UCSB+UCSD,4,IGETC,success,7,75,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCB+UCD+UCI+UCSD,4,IGETC,success,7,78,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCD+UCI+UCSC+UCSD,4,IGETC,success,7,75,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCD+UCI+UCM+UCSD,4,IGETC,success,7,78,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCB+UCI+UCSC+UCSD,4,IGETC,success,7,79,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCB+UCI+UCM+UCSD,4,IGETC,success,7,76,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCI+UCM+UCSC+UCSD,4,IGETC,success,7,79,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCD+UCR+UCSB+UCSD,4,IGETC,success,6,69,True,12,12,12,12,12,9,
city_college_of_san_francisco,UCB+UCR+UCSB+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCR+UCSB+UCSC+UCSD,4,IGETC,success,6,69,True,12,12,12,12,12,9,
city_college_of_san_francisco,UCM+UCR+UCSB+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCB+UCD+UCR+UCSD,4,IGETC,success,6,69,True,12,12,12,12,12,9,
city_college_of_san_francisco,UCD+UCR+UCSC+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCD+UCM+UCR+UCSD,4,IGETC,success,6,69,True,12,12,12,12,12,9,
city_college_of_san_francisco,UCB+UCR+UCSC+UCSD,4,IGETC,success,6,69,True,12,12,12,12,12,9,
city_college_of_san_francisco,UCB+UCM+UCR+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCM+UCR+UCSC+UCSD,4,IGETC,success,6,69,True,12,12,12,12,12,9,
city_college_of_san_francisco,UCB+UCD+UCSB+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCD+UCSB+UCSC+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCD+UCM+UCSB+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCB+UCSB+UCSC+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCB+UCM+UCSB+UCSD,4,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCM+UCSB+UCSC+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCB+UCD+UCSC+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCB+UCD+UCM+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCD+UCM+UCSC+UCSD,4,IGETC,success,6,66,True,12,12,12,12,12,6,
city_college_of_san_francisco,UCB+UCM+UCSC+UCSD,4,IGETC,success,6,67,True,12,10,12,12,12,9,
city_college_of_san_francisco,UCI+UCLA+UCR+UCSB,4,IGETC,success,7,75,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCD+UCI+UCLA+UCR,4,IGETC,success,7,82,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCB+UCI+UCLA+UCR,4,IGETC,success,6,69,True,12,12,12,12,12,9,
city_college_of_san_francisco,UCI+UCLA+UCR+UCSC,4,IGETC,success,7,82,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCI+UCLA+UCM+UCR,4,IGETC,success,6,72,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCD+UCI+UCLA+UCSB,4,IGETC,success,7,79,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCB+UCI+UCLA+UCSB,4,IGETC,success,6,72,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCI+UCLA+UCSB+UCSC,4,IGETC,success,7,79,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCI+UCLA+UCM+UCSB,4,IGETC,success,6,72,True,12,12,12,12,12,12,
city_college_of_san_francisco,UCB+UCD+UCI+UCLA,4,IGETC,success,7,79,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCD+UCI+UCLA+UCSC,4,IGETC,success,7,79,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCD+UCI+UCLA+UCM,4,IGETC,success,7,79,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCB+UCI+UCLA+UCSC,4,IGETC,success,7,79,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCB+UCI+UCLA+UCM,4,IGETC,success,6,69,True,12,12,12,12,12,9,
city_college_of_san_francisco,UCI+UCLA+UCM+UCSC,4,IGETC,success,7,79,True,12,12,12,12,10,12,
city_college_of_san_francisco,UCD+UCLA+UCR+UCSB,4,IGETC,success,6,70,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCB+UCLA+UCR+UCSB,4,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCLA+UCR+UCSB+UCSC,4,IGETC,success,6,70,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCLA+UCM+UCR+UCSB,4,IGETC,success,6,63,True,12,12,12,12,12,3,
city_college_of_san_francisco,UCB+UCD+UCLA+UCR,4,IGETC,success,6,70,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCD+UCLA+UCR+UCSC,4,IGETC,success,6,70,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCD+UCLA+UCM+UCR,4,IGETC,success,6,70,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCB+UCLA+UCR+UCSC,4,IGETC,success,6,70,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCB+UCLA+UCM+UCR,4,IGETC,success,5,60,True,12,12,12,12,12,0,
city_college_of_san_francisco,UCLA+UCM+UCR+UCSC,4,IGETC,success,6,70,True,12,12,12,10,12,12,
city_college_of_san_francisco,UCB+UCD+UCLA+UCSB,4,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCD+UCLA+UCSB+UCSC,4,IGETC,success,6,67,True,12,12,12,10,12,9,
city_college_of_san_francisco,UCD+UCLA+UCM+UCSB,4,IGETC,success,6,67,True,12,12,12,10,12,9,
